FECHA,DIA,HORA,BARRIO,MES,ZONA,CLASE_DE_SITIO,ARMA_EMPLEADA,MOVIL_VICTIMA,MOVIL_AGRESOR,EDAD,ESTADO_CIVIL,PAIS_NACIMIENTO,CLASE_EMPLEADO,PROFESION,ESCOLARIDAD,GENERO
2010-01-01,Viernes,17:00:00,ANTONIA SANTOS E-7,ene.,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,40.0,CASADO,COLOMBIA,EMPLEADO PARTICULAR,-,SECUNDARIA,MASCULINO
2010-01-01,Viernes,11:00:00,EL AMPARO E-8,ene.,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,37.0,SOLTERO,COLOMBIA,COMERCIANTE,-,SECUNDARIA,MASCULINO
2010-01-01,Viernes,05:30:00,GUACAMAYAS I-II E-4,ene.,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,18.0,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,-,SECUNDARIA,MASCULINO
2010-01-01,Viernes,05:30:00,GUACAMAYAS I-II E-4,ene.,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,25.0,NO REPORTA,COLOMBIA,INDEPENDIENTE,-,PRIMARIA,MASCULINO
2010-01-01,Viernes,19:40:00,LA FLORIDA SUR E-19,ene.,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,47.0,CASADO,COLOMBIA,EMPLEADO PARTICULAR,-,SECUNDARIA,MASCULINO
2010-01-01,Viernes,00:10:00,SANTA CECILIA I E-11,ene.,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,30.0,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,-,SECUNDARIA,MASCULINO
2010-01-01,Viernes,08:10:00,LA VICTORIA E-4,ene.,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,45.0,CASADO,COLOMBIA,DESEMPLEADO,-,SECUNDARIA,MASCULINO
2010-01-01,Viernes,10:35:00,POTOSI E-19,ene.,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,30.0,UNION LIBRE,COLOMBIA,EMPLEADO PARTICULAR,-,PRIMARIA,MASCULINO
2010-01-01,Viernes,11:28:00,DIANA TURBAY E-18,ene.,URBANA,DENTRO DE LA VIVIENDA,ARMA DE FUEGO,A PIE,A PIE,34.0,UNION LIBRE,COLOMBIA,AMA DE CASA,-,SECUNDARIA,FEMENINO
2010-01-01,Viernes,01:27:00,VILLA GLORIA E-19,ene.,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,51.0,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,-,SECUNDARIA,MASCULINO
2010-01-01,Viernes,02:22:00,LA FAVORITA E-14,ene.,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,41.0,SOLTERO,ECUADOR,EMPLEADO PARTICULAR,-,SECUNDARIA,MASCULINO
2010-01-01,Viernes,13:36:00,LAS BRISAS E-19,ene.,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,27.0,SOLTERO,COLOMBIA,DESEMPLEADO,-,PRIMARIA,FEMENINO
2010-01-01,Viernes,03:17:00,QUIRIGUA I E-10,ene.,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,16.0,SOLTERO,COLOMBIA,ESTUDIANTE,-,SECUNDARIA,MASCULINO
2010-01-01,Viernes,03:56:00,SANTA ROSA SUR E-19,ene.,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,24.0,SOLTERO,COLOMBIA,INDEPENDIENTE,-,SECUNDARIA,FEMENINO
2010-01-01,Viernes,03:56:00,SANTA ROSA SUR E-19,ene.,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,26.0,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,-,SECUNDARIA,MASCULINO
2010-01-01,Viernes,05:29:00,VILLA NYDIA E-1,ene.,URBANA,PARQUES,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,17.0,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,-,SECUNDARIA,MASCULINO
2010-01-02,Sábado,18:38:00,EL PARAISO E-19,ene.,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,20.0,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,-,SECUNDARIA,MASCULINO
2010-01-03,Domingo,01:45:00,EL PORVENIR E-5,ene.,URBANA,TIENDA,ARMA DE FUEGO,A PIE,A PIE,45.0,UNION LIBRE,COLOMBIA,INDEPENDIENTE,-,SECUNDARIA,MASCULINO
2010-01-05,Martes,19:30:00,EL RECREO E-7,ene.,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,19.0,SOLTERO,COLOMBIA,DESEMPLEADO,-,PRIMARIA,MASCULINO
2010-01-05,Martes,10:30:00,VOTO NACIONAL E-14,ene.,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,30.0,CASADO,COLOMBIA,EMPLEADO PARTICULAR,-,SECUNDARIA,MASCULINO
2010-01-05,Martes,07:00:00,DANUBIO AZUL E-5,ene.,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,21.0,SOLTERO,COLOMBIA,INDEPENDIENTE,-,SECUNDARIA,MASCULINO
2010-01-05,Martes,14:20:00,CARLOS ALBAN HOLGUIN E-7,ene.,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,26.0,UNION LIBRE,COLOMBIA,DESEMPLEADO,-,PRIMARIA,MASCULINO
2010-01-05,Martes,21:24:00,LAS CRUCES E-3,ene.,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,55.0,NO REPORTA,COLOMBIA,INDEPENDIENTE,-,PRIMARIA,MASCULINO
2010-01-06,Miércoles,21:33:00,SAN BERNARDO E-3,ene.,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,CONDUCTOR MOTOCICLETA,46.0,SOLTERO,COLOMBIA,DESEMPLEADO,-,PRIMARIA,MASCULINO
2010-01-06,Miércoles,21:09:00,LOS PINOS E-5,ene.,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,25.0,SOLTERO,COLOMBIA,DESEMPLEADO,-,SECUNDARIA,MASCULINO
2010-01-07,Jueves,22:30:00,EL AMPARO E-8,ene.,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,23.0,NO REPORTA,COLOMBIA,INDEPENDIENTE,-,PRIMARIA,MASCULINO
2010-01-07,Jueves,20:20:00,CLASS E-8,ene.,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,67.0,SOLTERO,COLOMBIA,DESEMPLEADO,-,SECUNDARIA,MASCULINO
2010-01-07,Jueves,14:14:00,SIMON BOLIVAR E-12,ene.,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,54.0,UNION LIBRE,COLOMBIA,INDEPENDIENTE,-,SECUNDARIA,FEMENINO
2010-01-08,Viernes,03:05:00,LA LIBERTAD I E-7,ene.,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,21.0,SOLTERO,COLOMBIA,DESEMPLEADO,NO REPORTADA,SECUNDARIA,MASCULINO
2010-01-08,Viernes,13:39:00,UNICENTRO E-1,ene.,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,55.0,CASADO,COLOMBIA,COMERCIANTE,NO REPORTADA,SECUNDARIA,MASCULINO
2010-01-09,Sábado,19:30:00,LA PRIMAVERA NORTE E-16,ene.,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,34.0,CASADO,COLOMBIA,COMERCIANTE,-,SECUNDARIA,MASCULINO
